week_start,week_end,downloads,yoy
2025-02-10,2025-02-16,7505072,
2025-02-17,2025-02-23,6721998,
2025-02-24,2025-03-02,6914356,
2025-03-03,2025-03-09,6695105,
2025-03-10,2025-03-16,6885182,
2025-03-17,2025-03-23,7091600,
2025-03-24,2025-03-30,6926945,
2025-03-31,2025-04-06,7091641,
2025-04-07,2025-04-13,6862402,
2025-04-14,2025-04-20,6366953,
2025-04-21,2025-04-27,6509188,
2025-04-28,2025-05-04,6030354,
2025-05-05,2025-05-11,6500134,
2025-05-12,2025-05-18,6849706,
2025-05-19,2025-05-25,6979925,
2025-05-26,2025-06-01,6672474,
2025-06-02,2025-06-08,7191622,
2025-06-09,2025-06-15,7266882,
2025-06-16,2025-06-22,7455453,
2025-06-23,2025-06-29,7965423,
2025-06-30,2025-07-06,7236339,
2025-07-07,2025-07-13,7179955,
2025-07-14,2025-07-20,6947591,
2025-07-21,2025-07-27,6862216,
2025-07-28,2025-08-03,7258956,
2025-08-04,2025-08-10,6869880,
2025-08-11,2025-08-17,6906223,
2025-08-18,2025-08-24,7285702,
2025-08-25,2025-08-31,10511741,
2025-09-01,2025-09-07,7232273,
2025-09-08,2025-09-14,7913658,
2025-09-15,2025-09-21,7879163,
2025-09-22,2025-09-28,7773135,
2025-09-29,2025-10-05,7871451,
2025-10-06,2025-10-12,8120573,
2025-10-13,2025-10-19,7559716,
2025-10-20,2025-10-26,7632596,
2025-10-27,2025-11-02,7887434,
2025-11-03,2025-11-09,8208761,
2025-11-10,2025-11-16,8277938,
2025-11-17,2025-11-23,8191709,
2025-11-24,2025-11-30,7912505,
2025-12-01,2025-12-07,8978376,
2025-12-08,2025-12-14,8538194,
2025-12-15,2025-12-21,7991194,
2025-12-22,2025-12-28,5001171,
2025-12-29,2026-01-04,4673333,
2026-01-05,2026-01-11,7551700,
2026-01-12,2026-01-18,8496709,
2026-01-19,2026-01-25,8613315,
2026-01-26,2026-02-01,8802716,
2026-02-02,2026-02-08,9180272,23.37080442503719
2026-02-09,2026-02-15,9566777,27.470822398505973
2026-02-16,2026-02-22,9290512,38.21057370145007
2026-02-23,2026-03-01,10375168,50.05255731697934
2026-03-02,2026-03-08,10610339,58.47905297975162
2026-03-09,2026-03-15,11610914,68.63626843851041
2026-03-16,2026-03-22,11027396,55.49940775001409
2026-03-23,2026-03-29,10920395,57.65095579653079
2026-03-30,2026-04-05,10389706,46.50637278452195
2026-04-06,2026-04-12,10704378,55.98587783111512
2026-04-13,2026-04-19,11366233,78.51919120496099
2026-04-20,2026-04-26,11174781,71.67703559952486
2026-04-27,2026-05-03,11298462,87.35984653637249
2026-05-04,2026-05-10,10785134,65.92171792150747
2026-05-11,2026-05-17,12281546,79.30033785391664
2026-05-18,2026-05-24,12156333,74.16136992875998
2026-05-25,2026-05-31,11514611,72.56884028322928
2026-06-01,2026-06-07,12540250,74.37304129722058
2026-06-08,2026-06-14,13676653,88.20524400974173
2026-06-15,2026-06-21,14062293,88.61755281671013
2026-06-22,2026-06-28,13825994,73.57513844525269
2026-06-29,2026-07-05,12880354,77.99544769806943
2026-07-06,2026-07-12,12706379,76.97017599692477
2026-07-13,2026-07-19,14149717,103.66364398825434
2026-07-20,2026-07-26,14762045,115.12066947470029
2026-07-27,2026-08-02,0,-100.0
