week_start,week_end,downloads,yoy
2025-10-13,2025-10-19,12378841,
2025-10-20,2025-10-26,14856838,
2025-10-27,2025-11-02,15050933,
2025-11-03,2025-11-09,15500155,
2025-11-10,2025-11-16,16451127,
2025-11-17,2025-11-23,17739871,
2025-11-24,2025-11-30,16770015,
2025-12-01,2025-12-07,17506044,
2025-12-08,2025-12-14,17419377,
2025-12-15,2025-12-21,17058603,
2025-12-22,2025-12-28,14425780,
2025-12-29,2026-01-04,14293625,
2026-01-05,2026-01-11,17793676,
2026-01-12,2026-01-18,18067698,
2026-01-19,2026-01-25,16408414,
2026-01-26,2026-02-01,16237486,
2026-02-02,2026-02-08,17623710,
2026-02-09,2026-02-15,19559536,
2026-02-16,2026-02-22,19683399,
2026-02-23,2026-03-01,20820724,
2026-03-02,2026-03-08,20751420,
2026-03-09,2026-03-15,21967049,
2026-03-16,2026-03-22,20592047,
2026-03-23,2026-03-29,21311715,
2026-03-30,2026-04-05,20992701,
2026-04-06,2026-04-12,21084432,
